Id,SalePrice
1461,101941.41685223473
1462,154759.4743355329
1463,177511.10618398397
1464,187480.32010784774
1465,199152.68794184286
1466,180131.0361657233
1467,162704.18216610482
1468,172850.61887300963
1469,205617.83286412034
1470,108902.78542515376
1471,176172.1860089361
1472,97319.94187264853
1473,94669.5680089484
1474,144087.15187575525
1475,116803.23101308406
1476,375679.01910324267
1477,266173.90143758693
1478,339516.6484731184
1479,329036.5812001886
1480,511657.27825558715
1481,317278.997293371
1482,233529.18662809968
1483,196470.2284667357
1484,170292.2407483074
1485,191342.995483571
1486,213003.86026769158
1487,336677.4017694514
1488,262274.2363266741
1489,193010.0208080983
1490,213893.19432277788
1491,199544.20816902912
1492,98435.06607331087
1493,189584.55692637435
1494,300465.5315151286
1495,291042.0941573063
1496,216680.9921230586
1497,187357.2324335659
1498,161346.37259155072
1499,157522.37983674547
1500,150805.45073238152
1501,174692.71618822802
1502,149016.87208953014
1503,276305.9453766386
1504,231668.30918570003
1505,217514.06266802322
1506,186634.97515995815
1507,234277.36524165486
1508,195866.74870304292
1509,159631.0598741214
1510,138583.8778024132
1511,140348.51893940917
1512,158440.81574713546
1513,148052.0258336195
1514,160425.79201147016
1515,200038.3349768383
1516,155892.3382882121
1517,162580.92018237693
1518,148125.6129629206
1519,209277.30132346353
1520,122675.85640274953
1521,128506.79013246975
1522,177387.58945129113
1523,114614.83578095432
1524,109601.8972302734
1525,113756.15542432564
1526,117676.20661661547
1527,108939.41732964269
1528,138363.0613027024
1529,129259.04724995169
1530,171913.68718472944
1531,120280.62069697994
1532,91072.3822824189
1533,128707.82428221141
1534,121835.32836399144
1535,153289.61943978668
1536,109651.4739199404
1537,84268.83485871856
1538,159861.16760764248
1539,169208.44781930535
1540,113707.68555774332
1541,137269.12624682667
1542,127975.08063076354
1543,204460.84398901433
1544,82575.0210954882
1545,104136.11468900657
1546,121563.69635172974
1547,128735.44188934036
1548,116073.81939066586
1549,104242.72772739142
1550,119911.75198597508
1551,112919.54313169526
1552,126226.86262338496
1553,140336.9037392988
1554,112619.72440563283
1555,173247.52398862166
1556,116116.64107006618
1557,119481.98841809841
1558,106010.1202828669
1559,93796.76957459906
1560,120285.8875455043
1561,141254.70398547326
1562,124824.54037844978
1563,108704.48530641927
1564,164736.50315049881
1565,150981.543667586
1566,232792.70824003048
1567,93690.99450902069
1568,220080.37056242142
1569,126738.07491509814
1570,141455.4046647036
1571,130503.66502262675
1572,134265.85880260792
1573,248880.45825841656
1574,136777.87624259182
1575,221455.39764571207
1576,218131.5977451043
1577,190977.38336759762
1578,144430.1621045809
1579,141196.4358668929
1580,198375.67177793232
1581,145186.35015469804
1582,120039.68833989662
1583,300325.5907066631
1584,230721.2045873564
1585,133099.59751216398
1586,81598.09875255948
1587,103973.04162812859
1588,133821.02284721954
1589,107639.46608073032
1590,135158.02415922756
1591,97260.71353844857
1592,125314.6256714839
1593,119986.17782732025
1594,108955.17665130366
1595,130520.18288208064
1596,233259.64784341474
1597,181680.3404011872
1598,200546.3354600264
1599,158104.07070255085
1600,165710.21402280623
1601,61787.22318613314
1602,110952.50961921063
1603,78467.71222834717
1604,220671.37659797075
1605,246884.98823296666
1606,163709.4612099443
1607,191194.7503137535
1608,227392.71912176846
1609,193641.04604372327
1610,151083.51020832115
1611,150201.91683387605
1612,179349.61760101837
1613,167550.7305436229
1614,102958.59206751685
1615,80915.67138321821
1616,82564.64168212589
1617,87152.61281921474
1618,116410.33099064637
1619,131936.21518824797
1620,164869.10943301604
1621,142644.84877336037
1622,130820.21756763662
1623,256353.07588008585
1624,203158.59224525624
1625,118269.43407902162
1626,170352.668741159
1627,184586.88710896086
1628,278660.8718859001
1629,181718.19531441524
1630,328720.26899151853
1631,211575.89319924277
1632,241998.55720409696
1633,174276.47801975705
1634,183954.12102014717
1635,180353.4944517023
1636,173226.00493129855
1637,182028.53362540936
1638,218423.5386609419
