Id,SalePrice
1461,105027.85916668268
1462,123681.30105190925
1463,178767.9216873766
1464,194161.53431976278
1465,206225.28777020972
1466,177981.9360375121
1467,179348.28868950505
1468,175306.88837731842
1469,181974.66077375144
1470,119589.6320687
1471,152850.0530563033
1472,92533.79752067929
1473,94743.01095654361
1474,149159.4208046394
1475,123625.61561955273
1476,401107.89017274533
1477,230748.52588408953
1478,356369.44835612975
1479,301289.62753514136
1480,511135.2837454942
1481,309119.33581698826
1482,215908.29419292338
1483,185159.42588937955
1484,163313.47575137104
1485,170107.4671870658
1486,189053.5814574855
1487,325244.224546528
1488,262591.8517802996
1489,183499.39769390225
1490,200930.31106937776
1491,197314.0690555895
1492,80898.64746605119
1493,185200.89403565467
1494,295639.06508430646
1495,286809.0533276236
1496,220499.77972352918
1497,158831.02459533274
1498,156264.2807828656
1499,149261.52178604773
1500,171222.107897855
1501,183714.31901642878
1502,151120.88541376567
1503,278006.158275695
1504,206032.4299596095
1505,182504.8600235837
1506,148360.6404423368
1507,238952.4057770616
1508,180771.35055933872
1509,151565.16531547805
1510,129036.79139165574
1511,140302.42062756928
1512,162359.42642821962
1513,130957.26503401733
1514,136277.08997494436
1515,189189.16563679723
1516,165606.51284371593
1517,156125.58844064389
1518,145241.6192661362
1519,222902.4175400917
1520,132237.56304773045
1521,110046.30666912283
1522,155870.3626438915
1523,126156.47352985926
1524,117071.5725454512
1525,129415.80793436134
1526,132831.00147996744
1527,124846.16053818056
1528,144711.3717809093
1529,134592.28392131565
1530,158723.53356423284
1531,159572.32576793246
1532,91926.3363468783
1533,124740.39181013036
1534,125104.44417305659
1535,128909.45592101231
1536,85043.80136180363
1537,105794.3780958721
1538,146121.93308213947
1539,177918.82900129756
1540,127913.56431653416
1541,136402.54375674034
1542,135907.6246974618
1543,183439.84318869264
1544,95459.88822699587
1545,80835.17321879399
1546,122850.77820759999
1547,140974.629464752
1548,83706.09074176819
1549,106890.60849969006
1550,135882.90527505524
1551,113958.98798078341
1552,136706.97746602044
1553,125880.16123022942
1554,118517.82830847548
1555,182400.40845952154
1556,117543.4594911234
1557,113863.60122381843
1558,115400.68729819411
1559,72809.37311277627
1560,132760.95656310138
1561,132836.98130255725
1562,126284.42483378106
1563,115720.47620074115
1564,153538.67572542556
1565,157743.98881087627
1566,234056.5038402602
1567,98468.33166032996
1568,204103.6248104467
1569,132970.19303100937
1570,143243.54903897183
1571,131778.58802679763
1572,143629.00937760272
1573,272954.61601758056
1574,141286.70836095448
1575,264879.38873533293
1576,227668.40505949588
1577,197081.6525108016
1578,138349.2801410765
1579,146621.0178202714
1580,180503.51028198635
1581,139090.4758566314
1582,119023.59004181088
1583,259821.79159111646
1584,231365.59219354036
1585,135955.0980969797
1586,101993.19962411646
1587,107862.72900778313
1588,115143.66209726472
1589,107376.7897679516
1590,147014.69482759023
1591,102962.86210929617
1592,140131.34568478336
1593,144387.09310387223
1594,119959.68680830525
1595,110907.27166555559
1596,234875.5750487554
1597,156758.6234384758
1598,206243.935163803
1599,147828.90112961276
1600,150915.5477361105
1601,72880.60162953385
1602,104719.37181362062
1603,65523.58802465023
1604,274663.28081809013
1605,238436.71489876436
1606,178592.1861777266
1607,158122.21166079544
1608,235794.49929405868
1609,183583.02527956272
1610,181104.6963935946
1611,160703.74661470743
1612,190281.50618611192
1613,172555.61358473505
1614,110019.4805078741
1615,84914.32293617933
1616,86744.99643950799
1617,84171.74626514623
1618,126376.52635070334
1619,145151.6741218135
1620,179149.07135006285
1621,139819.10789901935
1622,133927.385867222
1623,233988.2611492315
1624,198616.94047975724
1625,129581.13990445624
1626,173444.3384868563
1627,175018.16858223476
1628,265954.12663373287
1629,173563.08680334943
1630,289567.4154148951
1631,181670.7093412057
1632,232878.8066626163
1633,172194.28393808534
1634,179153.14032483767
1635,175032.8956669847
1636,173083.00700293217
1637,178375.07237430595
1638,196060.1698580314
1639,152671.92247666247
1640,226123.40906739622
1641,163121.69349795108
1642,236188.1091924377
1643,228706.13403821964
1644,210507.71437728358
1645,193636.9828402596
1646,137761.8494163145
1647,140325.04359589214
1648,138353.43448693905
1649,132373.6704875778
1650,122205.85470523624
1651,131521.77332392643
1652,92522.94622442032
1653,88668.47243546693
1654,147854.1067521933
1655,139141.20282147246
1656,146925.4309738273
1657,146490.38198277281
1658,145026.58895457553
1659,121509.6978905835
1660,150486.07868629994
1661,479525.5266399919
1662,333589.0190263159
1663,375056.427820189
